x,y,reward,collision
-20.81,60.26,211.50,
-21.35,61.47,212.82,
-21.71,62.51,213.92,
-22.08,63.55,215.02,
-22.38,64.61,216.12,
-22.82,65.86,217.45,
-23.23,67.11,218.77,
-23.72,68.35,220.10,
-24.02,69.42,221.21,
-24.20,70.52,222.32,
-24.24,71.85,223.65,
-24.06,72.93,224.75,
-23.85,74.02,225.86,
-23.42,75.26,227.18,
-22.88,76.21,228.27,
-22.18,77.33,229.59,
-21.49,78.19,230.69,
-20.71,79.26,232.02,
-20.02,80.12,233.12,
-19.37,81.03,234.23,
-18.61,82.12,235.56,
-18.03,83.07,236.67,
-17.42,83.99,237.79,
-16.85,84.95,238.90,
-16.11,86.05,240.22,
-15.50,86.97,241.33,
-14.90,87.91,242.44,
-14.35,89.11,243.76,
-14.07,90.17,244.86,
-13.75,91.46,246.18,
-13.59,92.54,247.28,
-13.34,93.84,248.60,
-13.21,94.94,249.71,
-13.03,96.03,250.81,
-12.92,97.12,251.91,
-12.62,98.41,253.23,
-12.20,99.42,254.33,
-11.78,100.44,255.43,
-11.11,101.56,256.74,
-10.38,102.38,257.83,
-9.45,103.31,259.15,
-8.62,104.34,260.47,
-8.07,105.29,261.56,
-7.58,106.27,262.67,
-6.98,107.20,263.77,
-6.15,108.23,265.10,
-5.48,109.11,266.20,
-4.72,109.91,267.30,
-3.88,110.61,268.40,
-2.78,111.35,269.72,
-1.83,111.90,270.82,
-0.76,112.67,272.14,
0.17,113.60,273.45,
0.78,114.50,274.54,
1.51,115.59,275.86,
2.07,116.54,276.95,
2.74,117.68,278.28,
3.21,118.67,279.37,
3.77,119.87,280.69,
4.09,120.91,281.78,
4.25,121.99,282.88,
4.50,123.29,284.20,
4.82,124.35,285.31,
5.08,125.42,286.41,
